Code	Date	tl;dr	valid personal phone	Territory or use	Notes	
215	1/1/1947	assigned - geographic	1	Pennsylvania (Philadelphia area, including all of Philadelphia and its suburbs in eastern Montgomery County, most of Bucks County, and a very small portion of Berks County around the Hereford area, which is served by the Pennsburg 679 exchange)	1994: split to create 610  1997: overlaid by 267  2018: overlaid by 445	
216	1/1/1947	assigned - geographic	1	Ohio (Cleveland area)	1996: split to create 330  1997: split to create 440	
217	1/1/1947	assigned - geographic	1	Illinois (Springfield, Champaign, Decatur, Urbana, Lincoln, and parts of central Illinois)	1957: split to create a part of 309  2021: overlaid by 447	
218	1/1/1947	assigned - geographic	1	Minnesota (Duluth, Moorhead, Thief River Falls, Bemidji, Brainerd, International Falls, and most of northern Minnesota)	1954: split to create 507	
219	1/1/1947	assigned - geographic	1	Indiana (Gary area)	split of 317  2002: split to create 260 and 574	
220	4/22/2015	assigned - geographic	1	Ohio (suburban Columbus, central Ohio outside of Franklin County)	overlaid on area code 740	4/22/2015
221		unassigned - geographic	0	not in use; available for geographic assignment		
222		unassigned - nongeographic	0	not in use; available for non-geographic assignment	easily recognizable code (ERC)	
223	9/26/2017	assigned - geographic	1	Pennsylvania (Harrisburg, Gettysburg, Lancaster, York, and most of south-central Pennsylvania)	overlaid on 717  mnemonic: ABE	9/26/2017
224	1/5/2002	assigned - geographic	1	Illinois (North and northwest suburbs of Chicago)	overlaid on 847	
225	8/17/1998	assigned - geographic	1	Louisiana (Baton Rouge area and east-central Louisiana)	created by split of 504  mnemonic: CAJun	
226	10/21/2006	assigned - geographic	1	Ontario (London, Windsor, Kitchener-Waterloo, Cambridge, and most of southwestern Ontario)	overlaid on 519  2016: overlaid by 548  2023: to be overlaid by 382  mnemonic: CANada	
227	6/14/2023	assigned - geographic	1	Maryland (Silver Spring; Washington, D.C., suburbs; all counties which touch the Potomac River; Hagerstown, Frederick, Rockville, Cumberland; and fixed-line telephones in western Maryland)	Overlaid on 240/301	6/14/2023
228	9/15/1997	assigned - geographic	1	Mississippi (Gulfport, Biloxi, Pascagoula, Bay St. Louis, and southmost Mississippi)	split of 601	
229	8/1/2000	assigned - geographic	1	Georgia (Albany, Valdosta, Bainbridge, Americus, Fitzgerald, and most of southwestern Georgia)	split of 912	
230		unassigned - geographic	0	not in use; available for geographic assignment		
231	6/5/1999	assigned - geographic	1	Michigan (Muskegon, Traverse City, Ludington, Petoskey, and a part of northwestern Michigan)	split of 616	
232		unassigned - geographic	0	not in use; available for geographic assignment		
233		unassigned - nongeographic	0	not in use; available for non-geographic assignment	easily recognizable code (ERC)	
234	10/30/2000	assigned - geographic	1	Ohio (Akron, Canton, Youngstown, Warren, and most of northeastern Ohio)	overlaid on 330	
235	3/24/2024	upcoming - assigned - geographic	2	Missouri (Columbia, Jefferson City, Hannibal, Cape Girardeau, Farmington, Lake of the Ozarks, Poplar Bluff, and most of eastern Missouri excluding the St. Louis metropolitan area)	to be overlaid on 573	3/24/2024
236	6/1/2013	assigned - geographic	1	British Columbia (all, and the isolated border town of Hyder, Alaska, USA)	overlaid on 604, 250, and 778[2]  2019: overlaid by 672  2025: overlaid by 257	
237		unassigned - geographic	0	not in use; available for geographic assignment		
238		unassigned - geographic	0	not in use; available for geographic assignment		
239	3/11/2002	assigned - geographic	1	Florida (southwest coast: all of Lee County, Collier County, the mainland part of Monroe County, including Cape Coral, Fort Myers, Naples, and Everglades)	split of 941	
240	6/1/1997	assigned - geographic	1	Maryland (Silver Spring; Washington, D.C., suburbs; all counties which touch the Potomac River; Hagerstown, Frederick, Rockville, Cumberland; and landline telephones in western Maryland)	overlaid on 301  2023: overlaid by 227	
241		unassigned - geographic	0	not in use; available for geographic assignment		
242	10/1/1996	assigned - geographic	1	The Bahamas (all)	split of 809  mnemonic: BHA	
243		unassigned - geographic	0	not in use; available for geographic assignment		
244		unassigned - nongeographic	0	not in use; available for non-geographic assignment	easily recognizable code (ERC)	
245		unassigned - geographic	0	not in use; available for geographic assignment		
246	7/1/1996	assigned - geographic	1	Barbados (all)	split of 809  mnemonic: BIM	
247		unassigned - geographic	0	not in use; available for geographic assignment		
248	5/10/1997	assigned - geographic	1	Michigan (Oakland County)	split of 810  2002: overlaid by 947	
249	3/19/2011	assigned - geographic	1	Ontario (Northeastern Ontario and Central Ontario: Greater Sudbury, Sault Ste. Marie, North Bay, etc.)	overlaid on 705  2022: overlaid by 683  460 reserved as a fourth area code for the region.	
250	10/19/1996	assigned - geographic	1	British Columbia (Victoria: Prince George, Prince Rupert, Kelowna, all areas except for Metro Vancouver and the Fraser Valley; and the isolated border town of Hyder, Alaska, USA)	split of 604  2008: overlaid by 778 (see 604)  2013: overlaid by 236  2019: overlaid by 672	
251	6/18/2001	assigned - geographic	1	Alabama (Mobile County, Baldwin County, Bay Minette, Jackson, Brewton, Citronelle, and a part of southwestern Alabama)	split of 334	
252	3/22/1998	assigned - geographic	1	North Carolina (Greenville, New Bern, Elizabeth City, Kinston, Outer Banks, Rocky Mount)	split of 919	
253	4/27/1997	assigned - geographic	1	Washington (Tacoma, Lakewood, Auburn, Puyallup, Enumclaw, Spanaway, and the southern suburbs of Seattle)	split of 206	
254	5/25/1997	assigned - geographic	1	Texas (Waco, Killeen, Temple, Belton, and Stephenville)	split of 817	
255		unassigned - nongeographic	0	not in use; available for non-geographic assignment	easily recognizable code (ERC)	
256	3/23/1998	assigned - geographic	1	Alabama (Huntsville, Decatur, Cullman, Gadsden, Madison, Florence, Sheffield, Tuscumbia, Fort Payne, Scottsboro, and most of northern Alabama)	split of 205  2010: overlaid by 938	
257	5/24/2025	upcoming - assigned - geographic	2	will overlay 778/236/672 (British Columbia)	relief area code for 778/236/672, relief date 27 May 2025	5/24/2025
258		unassigned - geographic	0	not in use; available for geographic assignment		
259		unassigned - geographic	0	not in use; available for geographic assignment		
260	1/15/2002	assigned - geographic	1	Indiana (Fort Wayne, New Haven, Decatur, Angola, Huntington, Wabash, and most of northeastern Indiana)	split of 219	
261		unassigned - geographic	0	not in use; available for geographic assignment		
262	9/25/1999	assigned - geographic	1	Wisconsin (Racine, Kenosha, Menomonee Falls, Waukesha, and most of southeastern Wisconsin excluding Milwaukee County)	split of 414	
263	10/22/2022	assigned - geographic	1	Quebec (Montreal metropolitan area)	overlaid on 514 and 438	10/22/2022
264	3/31/1997	assigned - geographic	1	Anguilla (all)	split of 809  mnemonic: ANG	
265		unassigned - geographic	0	not in use; available for geographic assignment		
266		unassigned - nongeographic	0	not in use; available for non-geographic assignment	easily recognizable code (ERC)	
267	7/1/1999	assigned - geographic	1	Pennsylvania (Philadelphia and surrounding suburban area)	overlaid on 215	
268	4/1/1996	assigned - geographic	1	Antigua and Barbuda (all)	split of 809  mnemonic: ANT	
269	7/13/2002	assigned - geographic	1	Michigan (Battle Creek, Kalamazoo, Benton Harbor, Allegan, Hastings, St. Joseph, and most of southwestern Michigan)	split of 616	
270	4/19/1999	assigned - geographic	1	Kentucky (Owensboro, Paducah, Bowling Green, Hopkinsville, Henderson, Elizabethtown, and most of western Kentucky)	split of 502  2014: overlaid by 364	
271		unassigned - geographic	0	not in use; available for geographic assignment		
272	10/21/2013	assigned - geographic	1	Pennsylvania (northeastern)	overlaid on 570	
273		unassigned - geographic	0	not in use; available for geographic assignment in Canada		
274	5/5/2023	assigned - geographic	1	Wisconsin (Appleton, Sheboygan, Oshkosh, Green Bay, Manitowoc, Marquette, Fond du Lac, and parts of eastern Wisconsin—but not in Milwaukee County)	overlaid on 920	5/5/2023
275		unassigned - geographic	0	not in use; available for geographic assignment		
276	9/1/2001	assigned - geographic	1	Virginia (Bristol, Abingdon, Wytheville, Martinsville, Bluefield, Big Stone Gap, and the remainder of southwestern Virginia)	split of 540	
277		unassigned - nongeographic	0	not in use; available for non-geographic assignment	easily recognizable code (ERC)	
278		unassigned - geographic	0	not in use; available for geographic assignment	was a planned overlay for Michigan's 734, but this has been canceled	
279	3/10/2018	assigned - geographic	1	California (the Sacramento Metropolitan Area)	overlaid on 916	3/10/2018
280		unassigned - geographic	0	not in use; available for geographic assignment		
281	11/2/1996	assigned - geographic	1	Texas (Houston area)	split of 713  1999: merged with 713 as an overlay  1999: overlaid by 832  2014: overlaid by 346	
282		unassigned - geographic	0	not in use; available for geographic assignment		
283	4/28/2023	assigned - geographic	1	Ohio (Cincinnati, Middletown, Hamilton, Lebanon, and parts of southern and southwestern Ohio)	overlaid on 513	4/28/2023
284	10/1/1997	assigned - geographic	1	British Virgin Islands (all)	split of 809  mnemonic: BVI	
285		unassigned - geographic	0	not in use; available for geographic assignment		
286		unassigned - geographic	0	not in use; available for geographic assignment		
287		unassigned - geographic	0	not in use; available for geographic assignment		
288		unassigned - nongeographic	0	not in use; available for non-geographic assignment	easily recognizable code (ERC)	
289	6/9/2001	assigned - geographic	1	Ontario (Oshawa-Hamilton and Golden Horseshoe, excluding Toronto 416 but including its adjacent suburbs)	overlaid on 905  2013: overlaid by 365  2021: overlaid by 742  537 reserved as a fifth area code for the region.	
290		unassigned	0	not in use; reserved for potential North American Numbering Plan expansion		
291		unassigned	0	not in use; reserved for potential North American Numbering Plan expansion		
292		unassigned	0	not in use; reserved for potential North American Numbering Plan expansion		
293		unassigned	0	not in use; reserved for potential North American Numbering Plan expansion		
294		unassigned	0	not in use; reserved for potential North American Numbering Plan expansion		
295		unassigned	0	not in use; reserved for potential North American Numbering Plan expansion		
296		unassigned	0	not in use; reserved for potential North American Numbering Plan expansion		
297		unassigned	0	not in use; reserved for potential North American Numbering Plan expansion		
298		unassigned	0	not in use; reserved for potential North American Numbering Plan expansion		
299		unassigned	0	not in use; reserved for potential North American Numbering Plan expansion		
300		unassigned - nongeographic	0	not in use; available for non-geographic assignment	easily recognizable code (ERC)	
301	1/1/1947	assigned - geographic	1	Maryland (Silver Spring; Washington, D.C., suburbs; all counties which touch the Potomac River; Hagerstown, Frederick, Rockville, Cumberland; and land line telephones in western Maryland)	created for all of Maryland  1991: split to create 410  1997: overlaid by 240  2023: overlaid by 227	
302	1/1/1947	assigned - geographic	1	Delaware (all)		
303	1/1/1947	assigned - geographic	1	Colorado (Denver, Boulder, Longmont, Aurora, Golden, Limon, Littleton, Centennial; central Colorado)	created for all of Colorado  1988: split to create 719  1995: split to create 970  1998: overlaid by 720  2022: overlaid by 983	
304	1/1/1947	assigned - geographic	1	West Virginia	2009: overlaid by 681	
305	1/1/1947	assigned - geographic	1	Florida (all of Miami-Dade County and the Florida Keys)	created for all of Florida  1953: split to create 813  1965: split to create 904  1988: split to create 407  1995: split to create 954  1998: partially overlaid by 786, in Miami-Dade County only  2008: completely overlaid by 786, including the Florida Keys  2023: overlaid with 645	
306	1/1/1947	assigned - geographic	1	Saskatchewan	2012: overlaid by 639[3]  2021: overlaid by 474[4]	
307	1/1/1947	assigned - geographic	1	Wyoming (all)		
308	1/1/1955	assigned - geographic	1	Nebraska (North Platte, Scottsbluff, McCook, Kearney, Grand Island; western Nebraska)	split of 402	
309	1/1/1957	assigned - geographic	1	Illinois (Peoria, Bloomington, Moline, Rock Island, Galesburg; west-central Illinois)	created from parts of 217 and 815  2023: overlaid by 861	
310	11/2/1991	assigned - geographic	1	California (southwestern coastal and coastal-adjacent areas of Los Angeles County, including Beverly Hills, Brentwood, Malibu, Pacific Palisades, Redondo Beach, Santa Monica, Torrance, and Santa Catalina Island)	split of 213  1997: split to create 562  2006: overlaid by 424	
311		not assignable	0	Not assignable; N11 code for non-emergency calls to local government, or to reach the city or county hall		
312	1/1/1947	assigned - geographic	1	Illinois (downtown Chicago)	1989: split to create 708  1996: split to create 773  2009: overlaid by 872	
313	1/1/1947	assigned - geographic	1	Michigan (Dearborn, the Grosse Pointes, Detroit, and the latter's enclaves of Hamtramck and Highland Park)	1993: split to create 810  1997: split to create 734  to be overlaid by 679 in the future	
314	1/1/1947	assigned - geographic	1	Missouri (St. Louis, St. Louis County, Florissant, Crestwood, Hazelwood, Kirkwood, and surrounding suburbs of St. Louis)	1950: split to create a part of 417  1996: split to create 573  1999: split to create 636  2022: overlaid by 557	
315	1/1/1947	assigned - geographic	1	New York (Syracuse, Utica, Watertown; north-central New York)	1954: split to create a part of 607  2017: overlaid by 680	
316	1/1/1947	assigned - geographic	1	Kansas (Wichita metro, McConnell AFB, Cheney, El Dorado, Mulvane, Newton)	2001: split to create 620	
317	1/1/1947	assigned - geographic	1	Indiana (Indianapolis and immediate metro area including Carmel, Fishers, Noblesville, Westfield, Greenwood, Mooresville, Beech Grove, Plainfield, Avon, Brownsburg, and Zionsville)	1948: split to create 219  1997: split to create 765  2016: overlaid by 463	
318	1/1/1957	assigned - geographic	1	Louisiana (Shreveport–Bossier City, Monroe, Alexandria, Fisher, Tallulah, and most of northern Louisiana)	originally used temporarily for the San Francisco Bay Area until 1953.[5]  split of 504  1999: split to create 337  To be overlaid by 457 by 2026.	
319	1/1/1947	assigned - geographic	1	Iowa (Cedar Rapids, Waterloo, Burlington, Iowa City; parts of eastern Iowa)	2001: split to create 563	
320	3/17/1996	assigned - geographic	1	Minnesota (St. Cloud, Alexandria, Morris, Hutchinson, Sandstone, Appleton, Willmar; central Minnesota)	split of 612	
321	11/1/1999	assigned - geographic	1	Florida (Orlando, Cocoa, Melbourne, Rockledge, Titusville, St Cloud, and east-central Florida)	In 1999, created by a simultaneous split and overlay of the 407 area code.	
322		unassigned - nongeographic	0	not in use; available for non-geographic assignment	easily recognizable code (ERC)	
323	6/13/1998	assigned - geographic	1	California (Downtown Los Angeles and surrounding areas)	split of 213  2017: merged with 213 as an overlay  2024: 213/323 will be overlaid with 738	
324	2/26/2024	upcoming - assigned - geographic	2	Florida (Jacksonville, St. Augustine, Starke, and most of northeastern Florida)	to be overlaid on 904	2/26/2024
325	4/5/2003	assigned - geographic	1	Texas (Abilene, San Angelo, Sweetwater, Snyder)	split of 915	
326	3/8/2020	assigned - geographic	1	Ohio (Dayton, Springfield, and southwestern Ohio north and east of the Cincinnati metropolitan area)	overlaid on 937	3/8/2020
327	2/20/2024	upcoming - assigned - geographic	2	Arkansas (Texarkana, Jonesboro, Pine Bluff; southern, eastern, and northeastern Arkansas)	to be overlaid on 870	2/20/2024
328		unassigned - geographic	0	not in use; available for geographic assignment		
329	3/24/2023	assigned - geographic	1	New York (Dutchess, Orange, Putnam, Rockland, Sullivan, and Ulster counties)	overlaid on 845	3/24/2023
330	3/9/1996	assigned - geographic	1	Ohio (Akron, Canton, Youngstown, Warren, and most of northeastern Ohio)	split of 216  2000: overlaid by 234	
331	10/7/2007	assigned - geographic	1	Illinois (Aurora, Naperville, Oswego; western suburbs of Chicago)	overlaid on 630	
332	6/10/2017	assigned - geographic	1	New York (New York City: Manhattan only, except for Marble Hill)	created as an overlay of 212, 646, and a part of 917	6/10/2017
333		unassigned - nongeographic	0	not in use; available for non-geographic assignment	easily recognizable code (ERC)	
334	1/15/1995	assigned - geographic	1	Alabama (Montgomery, Auburn, Dothan, Enterprise, Eufaula, Opelika, Phenix City, Selma, Tuskegee, and most of southeastern Alabama)	split of 205  2001: split to create 251	
335		unassigned - geographic	0	not in use; available for geographic assignment		
336	12/15/1997	assigned - geographic	1	North Carolina (the Piedmont Triad, Wilkesboro, Roxboro, and most of northwestern North Carolina)	split of 910  2016: overlaid by 743	
337	10/11/1999	assigned - geographic	1	Louisiana (Lafayette, Lake Charles, Leesville, New Iberia, Opelousas, and most of southwestern Louisiana)	split of 318	
338		unassigned - geographic	0	not in use; available for geographic assignment		
339	5/2/2001	assigned - geographic	1	Massachusetts (Canton, Hanson, Lincoln, Nahant, Plympton, Revere, Stoughton, Winchester, and east-central Massachusetts)	overlaid on 781	
340	6/1/1997	assigned - geographic	1	U.S. Virgin Islands (all)	split of 809	
341	7/22/2019	assigned - geographic	1	California (coastal regions of the East Bay—Oakland, Fremont, Hayward, Richmond, Berkeley, and Alameda)	overlaid on 510	7/22/2019
342		unassigned - geographic	0	not in use; available for geographic assignment		
343	5/17/2010	assigned - geographic	1	Ontario (Ottawa metropolitan area and southeastern Ontario)	overlaid on 613  2022: overlaid by 753	
344		unassigned - nongeographic	0	not in use; available for non-geographic assignment	easily recognizable code (ERC)	
345	9/1/1996	assigned - geographic	1	the Cayman Islands (all)	split of 809	
346	7/1/2014	assigned - geographic	1	Texas (Houston area)	overlaid on 713, 281, and 832	7/1/2014
347	10/1/1999	assigned - geographic	1	New York (New York City: The Bronx, Brooklyn, Queens, Staten Island, and Marble Hill)	overlaid on 718 and a part of 917  2011: overlaid by 929	
348		unassigned - geographic	0	not in use; available for geographic assignment		
349		unassigned - geographic	0	not in use; available for geographic assignment		
350	11/28/2022	assigned - geographic	1	California (Stockton, Modesto, Merced, Tracy, San Andreas, and a part of central California extending into central Yosemite National Park)	overlaid on 209	11/28/2022
351	5/2/2001	assigned - geographic	1	Massachusetts (Ashby, Barre, Boxborough, Carlisle, Groveland, Rowley, Wendell, Wenham, and northeastern Massachusetts)	overlaid on 978	
352	12/3/1995	assigned - geographic	1	Florida (Gainesville, Ocala, Inverness, Dunnellon, and a part of central Florida)	split of 904  mnemonic: FLA	
353	9/15/2023	assigned - geographic	1	Wisconsin (Madison, La Crosse, Platteville, Beloit, and most of southwestern Wisconsin)	to be overlaid on 608	9/15/2023
354	10/22/2022	assigned - geographic	1	Quebec (central southern Quebec; surrounding City of Montreal)	overlaid on 450/579	10/22/2022
355		unassigned - nongeographic	0	not in use; available for non-geographic assignment	easily recognizable code (ERC)	
356		unassigned - geographic	0	not in use; available for geographic assignment	was authorized as a relief area code in New Jersey, but 862 was used	
357		unassigned - geographic	0	not in use; available for geographic assignment		
358		unassigned - geographic	0	not in use; available for geographic assignment		
359		unassigned - geographic	0	not in use; available for geographic assignment		
360	1/15/1995	assigned - geographic	1	Washington (Olympia, Vancouver, Bellingham, Bremerton, Port Angeles, Aberdeen, and most of western Washington, except the Seattle metropolitan area)	split of 206  2017: overlaid by 564	
361	2/13/1999	assigned - geographic	1	Texas (Corpus Christi, Victoria, George West, and much of south Texas)	split of 512	
362		unassigned - geographic	0	not in use; available for geographic assignment		
363	1/20/2023	assigned - geographic	1	New York (Nassau County, including Hempstead and Mineola)	overlaid on 516	1/20/2023
364	3/3/2014	assigned - geographic	1	Kentucky (Owensboro, Paducah, Bowling Green, Hopkinsville, Henderson, Elizabethtown, and most of western Kentucky)	overlaid on 270	3/3/2014
365	3/25/2013	assigned - geographic	1	Ontario (Oshawa-Hamilton and the Golden Horseshoe, excluding Toronto's 416 but including its adjacent suburbs)	overlaid on 905 and 289[6]  overlaid by 742 in 2021[7]  537 reserved as a fifth area code for the region.	
366		unassigned - nongeographic	0	not in use; available for non-geographic assignment	easily recognizable code (ERC)	
367	11/24/2018	assigned - geographic	1	Quebec (Quebec City, Saguenay, the Gaspé Peninsula, Côte-Nord, Chibougamau, St-Georges), Maine (Estcourt Station)	overlaid on 418/581[8][9]	11/24/2018
368	4/23/2022	assigned - geographic	1	Alberta (all)	overlaid on 403, 780, and 587/825  568 reserved as a fifth area code for the region.	4/23/2022
369	2/1/2023	assigned - geographic	1	California (Vallejo, Crescent City, Eureka, Redwoods National Park, Santa Rosa, Ukiah, and most of northwestern California)	overlaid on 707	2/1/2023
370		unassigned	0	not in use; reserved in case a block of consecutive numbers is ever needed	377 is an easily recognizable code (ERC)	
371		unassigned	0	not in use; reserved in case a block of consecutive numbers is ever needed		
372		unassigned	0	not in use; reserved in case a block of consecutive numbers is ever needed		
373		unassigned	0	not in use; reserved in case a block of consecutive numbers is ever needed		
374		unassigned	0	not in use; reserved in case a block of consecutive numbers is ever needed		
375		unassigned	0	not in use; reserved in case a block of consecutive numbers is ever needed		
376		unassigned	0	not in use; reserved in case a block of consecutive numbers is ever needed		
377		unassigned	0	not in use; reserved in case a block of consecutive numbers is ever needed		
378		unassigned	0	not in use; reserved in case a block of consecutive numbers is ever needed		
379		unassigned	0	not in use; reserved in case a block of consecutive numbers is ever needed		
380	2/27/2016	assigned - geographic	1	Ohio (Columbus and Franklin County)	overlaid on 614 in Ohio	2/27/2016
381		unassigned - geographic	0	not in use; available for geographic assignment		
382	6/17/2023	assigned - geographic	1	Ontario (London, Windsor, Kitchener-Waterloo, Cambridge, and most of southwestern Ontario)	to be overlaid on 519/226/548	6/17/2023
383		unassigned - geographic	0	not in use; available for geographic assignment		
384		unassigned - geographic	0	not in use; available for geographic assignment		
385	3/29/2009	assigned - geographic	1	Utah (Counties of Davis; Morgan; Salt Lake; Utah; and Weber along the Wasatch Front, including the cities of Salt Lake City, Ogden, and Provo)	overlaid on 801	
386	2/15/2001	assigned - geographic	1	Florida (Daytona Beach, Lake City, Live Oak, Crescent City, and parts of northeastern Florida)	split of 904  mnemonic: FUN	
387	1/1/2030	upcoming - assigned - geographic	2	not in use; reserved to overlay 416/647/437 (Toronto metropolitan area)		
388		unassigned - nongeographic	0	not in use; available for non-geographic assignment	easily recognizable code (ERC)	
389		unassigned - geographic	0	not in use; available for geographic assignment		
390		unassigned	0	not in use; reserved for potential North American Numbering Plan expansion		
391		unassigned	0	not in use; reserved for potential North American Numbering Plan expansion		
392		unassigned	0	not in use; reserved for potential North American Numbering Plan expansion		
393		unassigned	0	not in use; reserved for potential North American Numbering Plan expansion		
394		unassigned	0	not in use; reserved for potential North American Numbering Plan expansion		
395		unassigned	0	not in use; reserved for potential North American Numbering Plan expansion		
396		unassigned	0	not in use; reserved for potential North American Numbering Plan expansion		
397		unassigned	0	not in use; reserved for potential North American Numbering Plan expansion		
398		unassigned	0	not in use; reserved for potential North American Numbering Plan expansion		
399		unassigned	0	not in use; reserved for potential North American Numbering Plan expansion		
400		unassigned - nongeographic	0	not in use; available for non-geographic assignment	easily recognizable code (ERC)	
401	1/1/1947	assigned - geographic	1	Rhode Island (all)		
402	1/1/1947	assigned - geographic	1	Nebraska (Omaha, Lincoln, Norfolk, Superior, and most of eastern Nebraska)	created for all of Nebraska  1954: split to create 308  2011: overlaid by 531	
403	1/1/1947	assigned - geographic	1	Alberta (Calgary, Banff, Red Deer, Medicine Hat, Lethbridge, Brooks, and most of southern Alberta)	originally also covered all of the Yukon Territory and a part of the Northwest Territories  1997: split to create a part of 867  1999: split to create 780  2008: overlaid by 587  2016: overlaid by 825  2022: overlaid by 368  568 reserved as a fifth area code for the region.	
404	1/1/1947	assigned - geographic	1	Georgia (Atlanta and the Atlanta metropolitan area inside of the Interstate 285 perimeter highway)	created for all of Georgia  1954: split to create area code 912  1992: split to create area code 706  1995: split to create area code 770  1998: overlaid by 678	
405	1/1/1947	assigned - geographic	1	Oklahoma (Oklahoma City, Stillwater, Edmond, Norman, Shawnee, and most of central Oklahoma)	created for all of Oklahoma  1953: split to create 918  1997: split to create 580  2021: overlaid by 572	
406	1/1/1947	assigned - geographic	1	Montana (all)		
407	4/16/1988	assigned - geographic	1	Florida (Orlando, Sanford, St. Cloud, Kissimmee, and a part of east-central Florida)	split of 305  1996: split to create 561  1999: split and overlaid, partially, by 321  2019: overlaid by 689	
408	1/1/1959	assigned - geographic	1	California (San Jose, Cupertino, Los Altos, Los Altos Hills, Los Gatos, Milpitas, Mountain View, Santa Clara, Sunnyvale, and Silicon Valley)	split of 415  1998: split to create 831  2012: overlaid by 669	
409	11/1/1982	assigned - geographic	1	Texas (Beaumont, Galveston, Orange, Port Arthur, and Texas City)	split of 713  2000: split to create 936 and 979	
410	10/6/1991	assigned - geographic	1	Maryland (except for St. Mary's County, all counties and cities which touch the Chesapeake Bay, the Atlantic Ocean, or Delaware,)	split of 301  1997: overlaid by 443  2012: overlaid by 667	
411		not assignable	0	Not assignable; N11 code for local information, local directory assistance		
412	1/1/1947	assigned - geographic	1	Pennsylvania (Pittsburgh region)	1998: split to create 724  2001: overlaid by 878	
413	1/1/1947	assigned - geographic	1	Western part of Massachusetts		
414	1/1/1947	assigned - geographic	1	Wisconsin (Milwaukee County includes cities of Milwaukee, West Allis, Oak Creek, and others)	1955: split to create a part of 608  1997: split to create 920  1999: split to create 262	
415	1/1/1947	assigned - geographic	1	California (San Francisco, Daly City, Brisbane, and most of Marin County)	1959: split to create 408 and 707  1991: split to create 510  1997: split to create 650  2015: overlaid by 628	
416	1/1/1947	assigned - geographic	1	Ontario (the City of Toronto)	1953: split to create a part of 519  1993: split to create 905  2001: overlaid by 647  2013: overlaid by 437  2025: overlaid by 942  area code 387 is reserved as a fifth code for the region	
417	1/1/1950	assigned - geographic	1	Missouri (Springfield, Joplin, Branson, Lamar, Lebanon, and most of southwestern Missouri)	created from parts of the area codes 314 and 816	
418	1/1/1947	assigned - geographic	1	Quebec (Quebec City, Saguenay, the Gaspé Peninsula, Côte-Nord, Chibougamau, St-Georges), Maine (Estcourt Station)	2008: overlaid by 581  2018: overlaid by 367	
419	1/1/1947	assigned - geographic	1	Ohio (Toledo area and most of northwestern Ohio)	2002: overlaid by 567	
420	1/13/2024	assigned - geographic	1	overlay for area code 928 in Arizona	overlay of area code 928	
421		unassigned - nongeographic	0	not in use; available for non-geographic assignment	easily recognizable code (ERC)	
422		unassigned - nongeographic	0	not in use; available for non-geographic assignment		
423	9/11/1995	assigned - geographic	1	Tennessee (two discontiguous portions of East Tennessee in the northeast and in the southeast)	split of 615  1999: split to create 865	
424	8/26/2006	assigned - geographic	1	California (southwestern coastal and coastal-adjacent areas of Los Angeles County; also Santa Catalina Island)	overlaid on 310	
425	4/27/1997	assigned - geographic	1	Washington (northern and eastern suburbs of Seattle)	split of 206	
426		unassigned - geographic	0	not in use; available for geographic assignment		
427		unassigned - geographic	0	not in use; available for geographic assignment		
